DateTime,Global_active_power
6156,78829.58485
6157,84796.54172
6158,89805.14767
6159,92661.53049
6160,94044.39071
6161,94041.74275
6162,93432.66584
6163,94059.92913
6164,94695.14352
6165,94647.35984
6166,95089.65921
6167,94926.98698
6168,95126.29599
6169,95397.35403000002
6170,96263.59088
6171,96019.25508
6172,95894.14474
6173,95683.89282
6174,95364.30372
6175,92233.23441
6176,90549.25557
6177,90241.80234
6178,89210.55573000001
6179,88149.49397
6180,89849.75028000001
6181,88514.08566000001
6182,86874.5803
6183,85050.91677
6184,83055.89303
6185,81191.30881
6186,78781.71644
6187,76605.51415999999
6188,74552.21304
6189,72557.75293
6190,70475.06865999999
6191,68600.07559
6192,66415.66068
6193,64877.54207000001
6194,63699.64112
6195,61828.66275
6196,60595.39046
6197,59312.183650000006
6198,57528.61844
6199,56680.58176
6200,55706.5246
6201,55083.58475
6202,54301.54176
6203,53635.2371
6204,53063.44238
6205,52370.4978
6206,52035.41818
6207,51724.04887
6208,51437.01832
6209,51101.12632
6210,50655.02604
6211,50097.4472
6212,49925.30486
6213,49703.11839999999
6214,49678.39189
6215,49785.10504
6216,49746.74424
6217,49626.65483
6218,49740.46579
6219,49821.99754
6220,49853.97747
6221,49750.84374
6222,50268.44731
6223,50808.19026
6224,50651.14735
6225,51344.17371
6226,51936.00703
6227,54280.39551
6228,54443.83957
6229,54065.50826
6230,53273.07159
6231,52965.80176999999
6232,52932.09148999999
6233,52102.74817
6234,51095.63633
6235,50973.31153
6236,51210.04848
6237,51044.79064000001
6238,51351.07519
6239,51008.67731
6240,50323.43592999999
6241,51003.33081
6242,52466.09119
6243,53641.56232
6244,54442.78678
6245,55680.7603
6246,56784.62189
6247,57946.50608
6248,59516.66232
6249,60771.28172
6250,61498.95681
6251,62928.34207
6252,64216.573820000005
6253,64853.321370000005
6254,66276.48028
6255,67947.34758
6256,68462.92431
6257,68975.91774
6258,69847.3478
6259,70739.12288000001
6260,71078.96819
6261,71393.02622
6262,72431.08484
6263,73244.32597
6264,74234.45173
6265,74070.71537
6266,74276.51714
6267,75322.09453
6268,77007.77281
6269,78856.80251
6270,80161.87122999999
6271,80669.9059
6272,80712.18649
6273,79925.28619
6274,78194.67023
6275,77253.40904
6276,76022.99521
6277,75505.40512
6278,75023.09987
6279,74954.82568000001
6280,75063.37094
6281,75328.30635
6282,74559.73821000001
6283,74622.5738
6284,74606.13143000001
6285,74542.95984
6286,74830.58213000001
6287,74491.33116999999
6288,73768.97931
6289,73420.60142
6290,73435.68756
6291,73251.46453
6292,72504.97140000001
6293,72174.19495
6294,71782.37828
6295,71067.82454
6296,70792.12611000001
6297,71585.16206
6298,72787.85752
6299,75436.71398
6300,78727.38831
6301,84698.73559
6302,90889.49195999998
6303,94259.94648
6304,96464.88597
6305,96403.21292
6306,96244.77601
6307,95922.97004
6308,95945.16728
6309,96396.67874
6310,96039.99695
6311,95268.95407
6312,95087.64057
6313,94652.79946
6314,95472.15906
6315,95907.00715
6316,95926.08388
6317,95380.94638
6318,94979.6488
6319,94259.29233
6320,93638.24209
6321,92862.26358
6322,91557.90252
6323,90844.6274
6324,89839.61283
6325,88571.73923
6326,87121.97117
6327,85004.50515
6328,83703.85951000001
6329,81600.29613999999
6330,79392.63068
6331,77526.17695
6332,75136.62354
6333,72870.08216
6334,70788.51253
6335,68988.73185000001
6336,67524.1224
6337,66095.42629
6338,64303.13431
6339,62808.795020000005
6340,61015.41481
6341,59769.12376
6342,58949.62464
6343,57327.18734
6344,56372.21322
6345,55905.41927
6346,54941.09058
6347,53990.27069
6348,52985.97007
6349,52538.46651
6350,52057.48659
6351,51204.46338
6352,51009.66191
6353,50859.169460000005
6354,50704.74742
6355,50129.43115
6356,49510.16932
6357,49301.46786
6358,49214.20188
6359,49583.29804
6360,49607.18491
6361,49481.20499
6362,49386.14788
6363,49390.76414
6364,49818.98363
6365,49615.75837
6366,49759.57815
6367,50335.41435
6368,50705.37377
6369,50969.707610000005
6370,52113.65369000001
6371,54455.74734
6372,54338.78229
6373,53416.3631
6374,53049.36474
6375,53170.29098
6376,53079.952390000006
6377,52382.269
6378,51612.41069
6379,50143.57780000001
6380,50615.85299
6381,50894.08385
6382,50503.41976999999
6383,50283.46032
6384,50397.28875000001
6385,51500.6075
6386,52859.52668
6387,52555.37587
6388,52620.65425
6389,53180.67721
6390,54485.74856000001
6391,55494.59389
6392,57308.36619
6393,58848.82632
6394,60073.77673
6395,60463.35028
6396,60723.70349
6397,61827.51069
6398,62676.88963
6399,63903.33613
6400,64311.50707
6401,65378.99674
6402,66303.02025
6403,66871.67332
6404,67382.4233
6405,68377.76391
6406,68959.05933999999
6407,69277.63905
6408,69412.00851
6409,69953.61067000001
6410,69957.86646
6411,70646.86782
6412,70888.39936000001
6413,71802.09252
6414,71395.99826000001
6415,70868.42094
6416,71290.21304999999
6417,71461.5367
6418,71353.82725999999
6419,70855.22229
6420,70290.18220000001
6421,70417.19915
6422,70172.68259000001
6423,69950.87307
6424,70300.29827999999
6425,69611.19498
6426,69364.49301
6427,67778.52719
6428,66312.81008
6429,66717.96592999999
6430,67420.59564
6431,67711.78439
6432,67117.28266
6433,67312.58146
6434,67594.42616
6435,67137.69704999999
6436,66798.48069
6437,66953.71511
6438,66693.12377
6439,65657.16892
6440,65776.84343000001
6441,65876.50267999999
6442,67290.51980000001
6443,69818.86157000001
6444,74032.90718
6445,80501.41493
6446,87857.58931
6447,91856.79607
6448,93643.53073
6449,94293.1348
6450,94113.95231
6451,94009.37038
6452,93709.73457
6453,93643.26886
6454,93110.32809
6455,92594.52239
6456,92219.54463
6457,91224.98615
6458,92477.99457
